,country,year,population,yearly_%_change,migrants,median_age,fertility_rate,density(P/Km²),urban_pop_%,rank
715,28,2018,15477729,3.07,2000.0,16.1,6.2,12,22.9,72
716,28,2017,15016753,3.13,2000.0,16.1,6.2,12,22.7,72
717,28,2016,14561660,3.19,2000.0,16.1,6.2,12,22.5,72
718,28,2015,14110975,3.38,20000.0,16.0,6.31,11,22.4,72
719,28,2010,11952136,3.43,15000.0,15.6,6.85,9,21.9,74
721,28,2000,8355654,3.57,13889.0,15.5,7.41,7,21.6,87
722,28,1995,7010145,3.29,-2075.0,15.8,7.39,6,21.4,91
723,28,1990,5963252,3.2,284.0,16.2,7.21,5,20.8,93
724,28,1985,5095401,2.45,-26249.0,16.8,7.04,4,19.8,98
725,28,1980,4514430,2.0,-35100.0,17.5,6.87,4,18.8,100
726,28,1975,4088564,2.33,-9810.0,18.2,6.67,3,15.6,99
727,28,1970,3643604,1.94,-8190.0,18.6,6.4,3,11.6,101
728,28,1965,3309586,1.97,-1000.0,19.2,6.3,3,8.4,98
729,28,1960,3001609,1.88,-500.0,19.9,6.2,2,6.7,100
730,28,1955,2735198,1.8,0.0,20.7,6.1,2,5.5,98
755,29,2010,17062536,1.06,21434.0,32.2,1.9,23,86.7,60
756,29,2005,16182721,1.07,8466.0,30.5,1.95,22,86.6,61
757,29,2000,15342353,1.3,3868.0,28.7,2.2,21,85.6,61
758,29,1995,14380866,1.61,722.0,27.0,2.52,19,84.0,57
759,29,1990,13274623,1.61,-13730.0,25.7,2.6,18,83.1,54
760,29,1985,12257236,1.43,-30904.0,24.3,2.63,16,82.1,55
761,29,1980,11419348,1.51,-29660.0,22.9,2.94,15,80.2,54
762,29,1975,10592307,1.6,-32252.0,21.6,3.47,14,77.2,53
764,29,1965,8989621,2.02,-29380.0,20.4,4.58,12,68.7,53
765,29,1960,8132990,2.12,-25822.0,20.6,4.75,11,64.4,54
766,29,1955,7322652,2.1,-24791.0,20.7,4.85,10,59.7,53
811,30,2000,542357,2.67,-1200.0,17.7,5.6,291,28.1,166
812,30,1995,475394,2.92,-600.0,17.1,6.1,255,28.3,166
813,30,1990,411594,2.98,-900.0,17.0,6.7,221,27.9,166
814,30,1985,355337,2.91,-900.0,17.2,7.05,191,25.5,167
815,30,1980,307829,3.65,2000.0,17.5,7.05,165,23.2,169
816,30,1975,257290,2.26,-1100.0,17.5,7.05,138,21.2,169
817,30,1970,230054,2.09,-1100.0,17.7,7.05,124,19.4,171
818,30,1965,207424,1.65,-1698.0,18.5,6.91,111,17.0,170
819,30,1960,191121,1.67,-1223.0,19.6,6.6,103,12.6,169
820,30,1955,175903,1.98,0.0,20.6,6.0,95,9.1,170
821,31,2020,5518087,2.56,-4000.0,19.2,4.45,16,69.9,117
822,31,2019,5380508,2.6,-4000.0,19.0,4.65,16,69.4,118
823,31,2018,5244359,2.62,-4000.0,19.0,4.65,15,68.9,119
824,31,2017,5110695,2.6,-4000.0,19.0,4.65,15,68.4,119
825,31,2016,4980996,2.57,-4000.0,19.0,4.65,15,67.9,119
826,31,2015,4856095,2.59,-12000.0,18.9,4.7,14,67.4,119
827,31,2010,4273731,3.36,18354.0,19.2,4.8,13,64.9,124
828,31,2005,3622775,2.98,10297.0,18.9,4.85,11,62.6,128
829,31,2000,3127411,2.93,9860.0,18.6,4.9,9,60.5,132
830,31,1995,2707537,2.81,4506.0,18.0,5.0,8,58.3,132
831,31,1990,2356737,2.78,400.0,17.4,5.3,7,56.3,134
832,31,1985,2054312,2.93,420.0,17.0,5.8,6,54.1,135
833,31,1980,1777934,2.96,-1481.0,16.9,6.25,5,49.5,137
834,31,1975,1536654,2.98,0.0,17.3,6.3,4,44.8,137
835,31,1970,1326885,2.81,0.0,17.8,6.19,4,40.2,138
836,31,1965,1155392,2.56,0.0,18.5,5.99,3,36.2,138
837,31,1960,1018253,2.25,0.0,19.2,5.79,3,32.2,138
838,31,1955,911029,1.95,0.0,19.7,5.68,3,28.4,138
856,32,2020,5094118,0.92,4200.0,33.5,1.76,100,80.0,122
857,32,2019,5047561,0.96,4200.0,31.7,1.83,99,79.3,120
858,32,2018,4999441,1.0,4200.0,31.7,1.83,98,78.6,120
859,32,2017,4949954,1.03,4200.0,31.7,1.83,97,77.9,120
860,32,2016,4899345,1.06,4200.0,31.7,1.83,96,77.1,120
861,32,2015,4847804,1.15,3932.0,31.2,1.85,95,76.2,120
862,32,2010,4577378,1.33,6068.0,29.1,1.94,90,71.2,119
863,32,2005,4285502,1.58,8358.0,27.2,2.15,84,65.1,119
864,32,2000,3962372,2.25,17905.0,25.3,2.61,78,58.5,120
865,32,1995,3545534,2.59,13840.0,24.1,3.07,69,54.0,124
866,32,1990,3119433,2.65,3483.0,23.0,3.41,61,49.6,126
867,32,1985,2736712,2.75,3775.0,21.9,3.5,54,45.3,127
868,32,1980,2389977,2.68,3485.0,20.5,3.7,47,43.1,129
869,32,1975,2094188,2.54,2528.0,19.1,4.06,41,41.4,129
870,32,1970,1847394,3.01,1565.0,17.8,5.26,36,38.9,130
871,32,1965,1592841,3.66,1581.0,17.2,6.5,31,35.7,134
872,32,1960,1330782,3.69,1427.0,17.4,6.65,26,34.3,133
873,32,1955,1110087,3.26,982.0,18.1,6.12,22,34.2,134
874,33,2020,26378274,2.57,-8000.0,18.9,4.68,83,51.3,53
875,33,2019,25716544,2.58,-8000.0,18.4,4.89,81,50.9,53
876,33,2018,25069230,2.59,-8000.0,18.4,4.89,79,50.4,54
877,33,2017,24437470,2.58,-8000.0,18.4,4.89,77,50.0,55
878,33,2016,23822714,2.57,-8000.0,18.4,4.89,75,49.6,55
879,33,2015,23226143,2.5,-16000.0,18.3,4.95,73,49.2,56
890,33,1960,3503553,3.12,20103.0,18.9,7.62,11,18.0,91
891,33,1955,3004421,2.7,13876.0,18.8,7.45,9,13.2,92
892,34,2020,4105267,-0.61,-8001.0,44.3,1.45,73,57.7,130
893,34,2019,4130304,-0.63,-8001.0,43.3,1.48,74,57.4,130
894,34,2018,4156405,-0.63,-8001.0,43.3,1.48,74,57.1,129
895,34,2017,4182857,-0.61,-8001.0,43.3,1.48,75,56.8,128
896,34,2016,4208602,-0.57,-8001.0,43.3,1.48,75,56.5,127
897,34,2015,4232874,-0.44,-7699.0,43.1,1.49,76,56.2,127
898,34,2010,4328165,-0.23,-2100.0,41.7,1.52,77,55.2,123
899,34,2005,4378058,-0.23,-516.0,40.5,1.41,78,54.3,118
900,34,2000,4428075,-0.83,-37626.0,38.9,1.62,79,53.4,116
901,34,1995,4616766,-0.68,-28716.0,37.9,1.52,83,52.3,111
902,34,1990,4776374,0.25,5229.0,35.8,1.72,85,51.0,105
903,34,1985,4716117,0.51,10874.0,34.3,1.87,84,49.3,102
904,34,1980,4598130,0.43,3736.0,33.5,1.9,82,47.3,98
905,34,1975,4500867,0.35,-3681.0,33.1,1.98,80,43.9,94
906,34,1970,4423073,0.43,-245.0,32.1,2.0,79,40.2,92
907,34,1965,4328923,0.64,371.0,30.7,2.22,77,35.0,77
908,34,1960,4192635,0.79,-4.0,29.2,2.38,75,30.2,80
909,34,1955,4030415,0.92,-4.0,28.2,2.73,72,26.0,77
910,35,2020,11326616,-0.06,-14400.0,42.2,1.62,106,78.3,83
911,35,2019,11333483,-0.04,-14400.0,41.1,1.69,106,78.2,82
912,35,2018,11338134,-0.01,-14400.0,41.1,1.69,107,78.1,81
913,35,2017,11339254,0.04,-14400.0,41.1,1.69,107,78.0,79
914,35,2016,11335104,0.09,-14400.0,41.1,1.69,106,77.9,78
915,35,2015,11324781,0.18,-16000.0,40.8,1.71,106,77.8,77
917,35,2005,11261582,0.24,-29126.0,35.6,1.59,106,76.3,72
918,35,2000,11126430,0.43,-26568.0,32.8,1.61,105,75.5,70
919,35,1995,10888252,0.54,-24001.0,30.2,1.58,102,74.4,65
920,35,1990,10596987,0.97,-14000.0,27.7,1.85,100,73.3,63
922,35,1980,9849459,0.84,-32000.0,24.1,2.15,93,68.0,59
923,35,1975,9446442,1.63,-38000.0,22.6,3.55,89,64.2,59
926,35,1960,7141250,1.78,-11000.0,22.9,3.7,67,58.4,63
927,35,1955,6539454,2.01,-6000.0,22.4,4.15,61,57.5,62
935,36,2005,130130,-0.31,-1214.0,37.8,2.26,293,90.0,192
936,36,2000,132140,-1.69,-3415.0,35.5,2.13,298,90.7,192
937,36,1995,143882,-0.38,-2303.0,31.9,2.28,324,87.7,188
942,36,1970,143634,1.42,-905.0,19.7,3.8,324,78.4,177
943,36,1965,133878,1.07,-1550.0,19.6,4.4,302,76.6,173
944,36,1960,126941,1.66,-1197.0,19.9,5.1,286,74.7,173
945,36,1955,116916,3.14,524.0,21.4,5.07,263,72.7,173
946,37,2020,1207359,0.73,5000.0,37.3,1.34,131,66.8,158
947,37,2019,1198575,0.78,5000.0,35.4,1.37,130,66.8,158
948,37,2018,1189265,0.81,5000.0,35.4,1.37,129,66.8,158
949,37,2017,1179678,0.81,5000.0,35.4,1.37,128,66.8,158
950,37,2016,1170187,0.79,5000.0,35.4,1.37,127,66.9,158
951,37,2015,1160985,0.85,4502.0,34.9,1.38,126,66.9,158
952,37,2010,1112612,1.6,11732.0,33.9,1.48,120,67.6,156
953,37,2005,1027662,1.73,11506.0,32.9,1.59,111,68.3,155
954,37,2000,943290,1.98,10652.0,31.8,1.89,102,68.6,155
955,37,1995,855383,2.22,8639.0,31.0,2.33,93,68.0,155
956,37,1990,766615,1.73,3433.0,29.9,2.43,83,66.8,155
957,37,1985,703685,0.53,-5527.0,29.1,2.45,76,64.7,156
958,37,1980,685405,1.07,-243.0,28.3,2.29,74,58.6,154
959,37,1975,649751,1.15,611.0,27.4,2.49,70,47.3,152
960,37,1970,613618,1.1,-1569.0,26.0,2.8,66,40.8,152
961,37,1965,580966,0.28,-8605.0,23.4,3.44,63,38.2,148
962,37,1960,572930,1.57,-1330.0,23.0,3.5,62,35.6,148
963,37,1955,529972,1.42,-2760.0,24.4,3.71,57,32.3,148
964,38,2020,10708981,0.18,22011.0,43.2,1.64,139,73.5,86
965,38,2019,10689209,0.22,22011.0,41.8,1.51,138,73.5,86
966,38,2018,10665677,0.23,22011.0,41.8,1.51,138,73.5,85
967,38,2017,10641034,0.21,22011.0,41.8,1.51,138,73.5,85
968,38,2016,10618857,0.16,22011.0,41.8,1.51,137,73.5,84
969,38,2015,10601397,0.12,11999.0,41.4,1.48,137,73.5,84
971,38,2005,10258167,-0.06,9480.0,38.7,1.19,133,73.6,78
972,38,2000,10289373,-0.13,9200.0,37.5,1.17,133,74.0,75
973,38,1995,10358193,0.03,6000.0,36.1,1.65,134,74.6,69
974,38,1990,10340875,0.02,1134.0,35.3,1.9,134,75.2,66
975,38,1985,10331143,-0.03,-10589.0,34.1,1.97,134,75.4,59
976,38,1980,10349083,0.55,2000.0,32.9,2.36,134,75.2,57
977,38,1975,10069955,0.51,2000.0,32.7,2.21,130,69.9,56
978,38,1970,9817669,0.01,-25820.0,33.6,1.96,127,64.4,53
979,38,1965,9811377,0.46,5000.0,33.8,2.21,127,62.0,39
980,38,1960,9590174,0.48,-7277.0,33.2,2.38,124,59.5,46
981,38,1955,9361772,1.01,11999.0,32.2,2.74,121,56.9,39
992,39,1990,34612023,2.98,14903.0,17.4,6.71,15,30.6,29
994,39,1980,26358908,2.85,20137.0,17.7,6.46,12,27.1,31
995,39,1975,22903581,2.74,5490.0,17.8,6.29,10,25.8,32
997,39,1965,17369883,2.64,24530.0,18.2,6.04,8,23.4,33
998,39,1960,15248251,2.44,15000.0,18.2,5.98,7,22.3,33
999,39,1955,13517513,2.1,0.0,18.1,5.98,6,20.7,33
1000,40,2020,5792202,0.35,15200.0,42.3,1.76,137,88.2,115
1001,40,2019,5771876,0.34,15200.0,41.7,1.74,136,88.0,115
1002,40,2018,5752126,0.35,15200.0,41.7,1.74,136,87.9,115
1003,40,2017,5732274,0.37,15200.0,41.7,1.74,135,87.8,114
1004,40,2016,5711349,0.4,15200.0,41.7,1.74,135,87.7,113
1005,40,2015,5688695,0.48,21368.0,41.6,1.73,134,87.5,113
1006,40,2010,5554844,0.49,17598.0,40.6,1.85,131,86.8,111
1007,40,2005,5421702,0.3,9261.0,39.6,1.76,128,85.9,110
1008,40,2000,5341194,0.41,14914.0,38.4,1.76,126,85.1,105
1009,40,1995,5232704,0.35,13093.0,37.7,1.75,123,85.0,102
1010,40,1990,5141115,0.1,6568.0,37.1,1.54,121,84.8,101
1011,40,1985,5114243,-0.04,1864.0,36.0,1.43,121,84.4,97
1012,40,1980,5123945,0.24,2985.0,34.3,1.68,121,83.7,92
1013,40,1975,5062729,0.53,4651.0,33.0,1.96,119,82.1,87
1014,40,1970,4931241,0.71,4373.0,32.5,2.27,116,79.7,83
1015,40,1965,4760460,0.77,451.0,32.8,2.58,112,77.0,75
1016,40,1960,4581101,0.62,-6528.0,33.0,2.55,108,73.7,75
1017,40,1955,4440778,0.8,-3656.0,32.4,2.55,105,69.6,75
1018,41,2020,988000,1.48,900.0,26.6,2.76,43,79.0,160
1019,41,2019,973560,1.53,900.0,25.3,3.03,42,78.9,160
1020,41,2018,958923,1.57,900.0,25.3,3.03,41,78.8,160
1021,41,2017,944099,1.61,900.0,25.3,3.03,41,78.7,160
1022,41,2016,929112,1.65,900.0,25.3,3.03,40,78.6,160
1023,41,2015,913993,1.7,1200.0,25.0,3.1,39,78.6,160
1024,41,2010,840198,1.41,-2444.0,23.4,3.55,36,78.0,161
1025,41,2005,783254,1.77,-1799.0,20.1,4.21,34,76.8,161
1026,41,2000,717584,2.62,1998.0,19.3,4.81,31,76.5,160
1027,41,1995,630388,1.32,-9000.0,18.1,5.85,27,76.3,160
1029,41,1985,425613,3.47,2000.0,17.2,6.45,18,74.9,162
1034,41,1960,83636,3.75,1000.0,18.0,6.39,4,50.3,183
1035,41,1955,69589,2.34,200.0,17.5,6.31,3,45.0,184
1053,42,2020,10847910,1.01,-30000.0,28.0,2.36,225,84.5,85
1054,42,2019,10738958,1.05,-30000.0,26.8,2.43,222,83.8,85
1055,42,2018,10627141,1.08,-30000.0,26.8,2.43,220,83.0,86
1056,42,2017,10513104,1.11,-30000.0,26.8,2.43,218,82.2,87
1057,42,2016,10397741,1.13,-30000.0,26.8,2.43,215,81.4,87
1058,42,2015,10281680,1.18,-30600.0,26.5,2.45,213,80.5,87
1059,42,2010,9695121,1.28,-30755.0,25.0,2.57,201,75.3,86
1060,42,2005,9097257,1.44,-30511.0,23.7,2.75,188,68.4,87
1061,42,2000,8471321,1.61,-30029.0,22.5,2.95,175,62.4,84
1062,42,1995,7819247,1.85,-28831.0,21.4,3.27,162,58.1,85
1063,42,1990,7133494,1.99,-26894.0,20.3,3.58,148,55.6,88
1064,42,1985,6464229,2.18,-23620.0,19.2,4.07,134,54.1,87
1065,42,1980,5803927,2.44,-17420.0,18.1,4.76,120,51.3,87
1066,42,1975,5144637,2.71,-14165.0,17.0,5.68,106,45.8,85
1067,42,1970,4499720,3.02,-11234.0,16.0,6.65,93,40.3,90
1068,42,1965,3877765,3.32,-8698.0,15.5,7.35,80,35.1,97
1069,42,1960,3294224,3.44,-6344.0,16.0,7.64,68,30.2,94
1070,42,1955,2781336,3.3,-3791.0,16.8,7.6,58,26.8,97
1076,43,2015,16212020,1.55,-7600.0,26.5,2.56,65,63.1,68
1077,43,2010,15011117,1.66,-9000.0,25.0,2.69,60,62.4,66
1078,43,2005,13825847,1.74,-24000.0,23.7,2.94,56,61.3,63
1079,43,2000,12681123,2.05,-14000.0,22.6,3.27,51,60.0,63
1080,43,1995,11455204,2.29,-3800.0,21.6,3.55,46,57.7,63
1081,43,1990,10230934,2.45,-3400.0,20.5,3.97,41,55.0,67
1082,43,1985,9066109,2.56,-2800.0,19.5,4.45,37,51.1,71
1083,43,1980,7989186,2.7,-1440.0,18.7,5.05,32,46.9,72
1084,43,1975,6994334,2.88,-1100.0,18.0,5.8,28,42.3,73
1085,43,1970,6069376,2.97,-1100.0,17.7,6.4,24,39.3,73
1086,43,1965,5243977,2.91,-1800.0,17.8,6.65,21,36.7,78
1087,43,1960,4543666,2.81,-1600.0,18.4,6.75,18,33.9,77
1088,43,1955,3956620,2.66,-400.0,19.3,6.75,16,31.0,78
1104,44,1965,30433022,2.7,-10020.0,19.0,6.65,31,40.3,22
1105,44,1960,26632894,2.78,-10020.0,19.9,6.75,27,38.4,22
1106,44,1955,23223124,2.57,-10020.0,20.7,6.75,23,35.3,22
1119,45,1980,4591134,2.02,-32846.0,17.9,5.44,222,44.0,99
1120,45,1975,4154692,2.49,-18195.0,17.4,5.95,201,41.5,98
1121,45,1970,3673068,2.79,-8861.0,17.1,6.36,177,39.4,100
1122,45,1965,3201313,2.96,-4806.0,17.1,6.67,155,38.9,107
1123,45,1960,2766324,2.6,-8776.0,17.6,6.6,134,38.3,106
1124,45,1955,2432880,2.03,-12430.0,18.1,6.36,117,37.4,107
1125,46,2020,1402985,3.47,16000.0,22.3,4.55,50,73.3,153
1126,46,2019,1355986,3.59,16000.0,22.2,4.9,48,72.8,154
1127,46,2018,1308975,3.72,16000.0,22.2,4.9,47,72.4,155
1128,46,2017,1262002,3.85,16000.0,22.2,4.9,45,72.0,156
1129,46,2016,1215180,3.99,16000.0,22.2,4.9,43,71.5,157
1130,46,2015,1168568,4.37,18000.0,22.1,4.99,42,71.0,157
1131,46,2010,943639,4.71,16000.0,21.5,5.4,34,66.5,159
1132,46,2005,749535,4.34,10001.0,20.6,5.69,27,58.3,162
1133,46,2000,606181,4.06,7000.0,19.6,5.94,22,49.8,163
1134,46,1995,496768,3.45,4000.0,18.9,5.97,18,41.2,165
1135,46,1990,419188,3.55,4000.0,19.1,5.98,15,35.4,165
1137,46,1980,249929,-0.46,-6000.0,20.7,5.79,9,28.5,172
1139,46,1970,303982,1.93,1000.0,20.9,5.79,11,27.2,165
1140,46,1965,276300,1.59,600.0,21.7,5.67,10,26.6,163
1141,46,1960,255333,1.26,0.0,22.4,5.65,9,25.5,165
1142,46,1955,239873,1.24,0.0,23.1,5.67,9,20.3,163
1149,47,2010,3170435,2.32,-16002.0,19.8,4.8,31,48.7,134
1151,47,2000,2292416,0.79,-26000.0,16.6,5.6,23,39.3,140
1153,47,1990,2258653,2.42,-8000.0,17.4,6.6,22,26.1,135
1154,47,1985,2003937,2.94,2000.0,17.7,6.7,20,21.6,136
1155,47,1980,1733416,2.86,2000.0,17.8,6.62,17,19.8,138
1156,47,1975,1505439,2.81,2000.0,17.9,6.62,15,18.6,138
1157,47,1970,1310945,2.69,1000.0,18.1,6.7,13,17.5,139
1158,47,1965,1148189,2.65,1399.0,18.2,6.82,11,15.9,139
1159,47,1960,1007590,2.29,600.0,18.0,6.97,10,13.6,139
1160,47,1955,899752,1.82,199.0,17.8,6.97,9,11.6,139
1161,48,2020,1326535,0.07,3911.0,42.4,1.59,31,67.9,155
1162,48,2019,1325648,0.21,3911.0,41.7,1.59,31,67.9,155
1163,48,2018,1322920,0.27,3911.0,41.7,1.59,31,68.0,154
1164,48,2017,1319390,0.22,3911.0,41.7,1.59,31,68.2,154
1165,48,2016,1316510,0.09,3911.0,41.7,1.59,31,68.4,154
1166,48,2015,1315325,-0.25,-2103.0,41.6,1.59,31,68.4,154
1167,48,2010,1332101,-0.35,-3030.0,40.2,1.66,31,68.1,152
1168,48,2005,1355648,-0.63,-3681.0,39.4,1.39,32,68.7,150
1169,48,2000,1399112,-0.48,-239.0,38.0,1.33,33,69.4,148
1170,48,1995,1433024,-1.75,-22375.0,36.4,1.63,34,70.3,148
1171,48,1990,1565246,0.56,3099.0,34.4,2.2,37,71.2,146
1172,48,1985,1522400,0.64,5180.0,34.0,2.09,36,70.8,144
1173,48,1980,1474439,0.73,6102.0,33.9,2.06,35,69.7,142
1174,48,1975,1422043,0.89,6116.0,34.3,2.15,34,67.6,140
1175,48,1970,1360202,1.06,8241.0,33.8,2.02,32,64.9,137
1176,48,1965,1290396,1.18,8646.0,33.0,1.94,30,61.3,133
1177,48,1960,1216819,0.97,5380.0,32.2,1.99,29,57.5,134
1178,48,1955,1159231,1.04,7400.0,30.2,2.06,27,53.6,133
1192,49,1975,32566854,2.77,-11919.0,17.6,7.1,33,9.5,26
1193,49,1970,28415077,2.58,-8436.0,18.0,6.87,28,8.6,26
1194,49,1965,25013626,2.46,-4000.0,18.1,6.9,25,7.6,25
1195,49,1960,22151278,2.12,-4000.0,18.1,6.9,22,6.4,25
1196,49,1955,19947292,1.93,-4000.0,18.0,7.17,20,5.4,25
1231,50,2020,896445,0.73,-6202.0,27.9,2.79,49,59.1,161
1232,50,2019,889953,0.73,-6202.0,27.1,2.79,49,58.6,161
1233,50,2018,883483,0.69,-6202.0,27.1,2.79,48,58.1,161
1234,50,2017,877459,0.58,-6202.0,27.1,2.79,48,57.5,161
1235,50,2016,872399,0.43,-6202.0,27.1,2.79,48,56.9,161
1236,50,2015,868627,0.2,-10390.0,27.0,2.79,48,56.2,161
1237,50,2010,859818,0.91,-4738.0,26.5,2.75,47,52.2,160
1238,50,2005,821604,0.26,-11720.0,25.3,2.98,45,49.9,159
1239,50,2000,811006,0.9,-7738.0,22.1,3.19,44,47.9,157
1240,50,1995,775425,1.25,-6761.0,21.6,3.35,42,45.5,157
1241,50,1990,728573,0.47,-13399.0,20.9,3.47,40,41.6,158
1242,50,1985,711775,2.3,-2535.0,20.3,3.8,39,38.5,155
1243,50,1980,635307,1.96,-4446.0,19.5,4.0,35,37.8,156
1244,50,1975,576626,2.07,-3029.0,18.9,4.2,32,36.7,155
1245,50,1970,520562,2.33,-2856.0,17.7,5.0,28,34.8,155
1246,50,1965,463968,3.35,-691.0,16.4,5.95,25,32.6,155
1247,50,1960,393481,3.26,-2135.0,15.8,6.79,22,29.7,155
1248,50,1955,335098,3.01,-1445.0,16.0,6.63,18,26.9,155
1249,51,2020,5540720,0.15,14000.0,43.1,1.53,18,86.1,116
1250,51,2019,5532156,0.17,14000.0,42.6,1.72,18,85.9,116
1251,51,2018,5522576,0.2,14000.0,42.6,1.72,18,85.7,116
1252,51,2017,5511371,0.25,14000.0,42.6,1.72,18,85.5,116
1253,51,2016,5497713,0.3,14000.0,42.6,1.72,18,85.4,116
1254,51,2015,5481122,0.43,16283.0,42.5,1.77,18,85.2,116
1255,51,2010,5365782,0.4,11512.0,42.0,1.84,18,83.8,114
1256,51,2005,5258927,0.27,6387.0,40.9,1.75,17,82.9,112
1257,51,2000,5187954,0.27,4431.0,39.4,1.74,17,82.2,108
1258,51,1995,5119005,0.49,9445.0,37.8,1.82,17,81.0,104
1259,51,1990,4996222,0.34,3654.0,36.4,1.66,16,79.4,102
1260,51,1985,4911220,0.51,5236.0,34.7,1.69,16,75.8,100
1261,51,1980,4788243,0.29,-5875.0,32.8,1.66,16,71.7,97
1262,51,1975,4718749,0.46,5776.0,30.8,1.62,16,67.8,93
1263,51,1970,4612366,0.19,-19587.0,29.6,2.19,15,63.7,87
1264,51,1965,4568598,0.6,-12997.0,28.7,2.66,15,59.7,76
1265,51,1960,4434590,0.91,-5549.0,28.4,2.77,15,55.3,78
1266,51,1955,4238275,1.12,-6508.0,28.0,3.0,14,49.1,76
1285,52,2020,298682,2.7,1200.0,25.1,3.36,4,87.3,182
1286,52,2019,290832,2.79,1200.0,24.8,3.41,4,87.3,182
1287,52,2018,282938,2.82,1200.0,24.8,3.41,3,87.4,183
1288,52,2017,275191,2.75,1200.0,24.8,3.41,3,87.4,185
1289,52,2016,267821,2.61,1200.0,24.8,3.41,3,87.3,185
1290,52,2015,260999,2.3,-211.0,24.8,3.42,3,87.0,185
1291,52,2010,233002,2.8,601.0,24.6,3.6,3,83.3,185
1292,52,2005,202971,4.46,3460.0,23.5,3.65,2,81.5,185
1293,52,2000,163165,3.5,1320.0,23.9,3.93,2,79.1,186
1294,52,1995,137400,3.48,890.0,23.9,4.05,2,77.0,190
1296,52,1985,86439,5.23,2155.0,23.8,3.58,1,72.7,195
1297,52,1980,66977,3.56,1019.0,23.1,3.3,1,70.8,197
1298,52,1975,56223,3.24,506.0,21.0,4.18,1,69.1,201
1299,52,1970,47930,4.27,807.0,21.7,5.0,1,67.4,203
1300,52,1965,38892,3.96,695.0,22.5,5.02,0,65.7,204
1301,52,1960,32032,2.37,141.0,24.8,4.92,0,63.3,205
1302,52,1955,28490,2.26,46.0,25.5,5.0,0,58.6,204
1303,53,2020,280908,0.58,-1000.0,33.6,1.95,77,64.1,185
1304,53,2019,279287,0.58,-1000.0,31.9,2.02,76,63.9,185
1305,53,2018,277679,0.57,-1000.0,31.9,2.02,76,63.7,185
1306,53,2017,276102,0.56,-1000.0,31.9,2.02,75,63.3,184
1307,53,2016,274575,0.53,-1000.0,31.9,2.02,75,63.0,183
1308,53,2015,273124,0.5,-1603.0,31.5,2.04,75,62.7,182
1309,53,2010,266455,0.59,-1804.0,29.2,2.17,73,60.6,182
1310,53,2005,258780,1.46,15.0,27.1,2.36,71,56.6,182
1311,53,2000,240686,1.99,697.0,25.6,2.61,66,55.2,182
1312,53,1995,218071,1.75,-685.0,23.5,3.11,60,55.9,181
1313,53,1990,199905,2.46,-72.0,22.0,3.64,55,57.4,181
1314,53,1985,177027,2.92,730.0,20.9,3.82,48,58.0,181
1315,53,1980,153301,3.16,935.0,19.5,4.23,42,58.4,181
1316,53,1975,131233,3.5,1000.0,18.3,4.86,36,58.0,183
1317,53,1970,110495,3.41,669.0,17.2,5.2,30,55.2,183
1318,53,1965,93438,3.66,638.0,17.4,5.44,26,48.2,185
1319,53,1960,78076,2.55,-485.0,18.3,5.86,21,42.3,186
1320,53,1955,68854,2.7,-257.0,18.5,6.0,19,37.7,185
1321,54,2020,2225734,2.45,3260.0,22.5,4.0,9,87.1,146
1322,54,2019,2172579,2.52,3260.0,22.4,4.08,8,87.1,146
1323,54,2018,2119275,2.64,3260.0,22.4,4.08,8,87.2,146
1324,54,2017,2064823,2.84,3260.0,22.4,4.08,8,87.3,149
1325,54,2016,2007873,3.09,3260.0,22.4,4.08,8,87.3,149
1326,54,2015,1947686,3.7,20063.0,22.3,4.1,8,87.3,150
1327,54,2010,1624140,3.15,12740.0,21.2,4.2,6,86.4,150
1328,54,2005,1390549,2.51,4964.0,20.0,4.35,5,83.2,149
1329,54,2000,1228360,2.51,1913.0,19.3,4.77,5,79.1,151
1330,54,1995,1084946,2.7,1000.0,19.0,5.25,4,74.9,153
1331,54,1990,949488,2.8,1000.0,19.3,5.58,4,69.3,153
1332,54,1985,827108,2.63,1000.0,19.9,5.72,3,62.6,152
1333,54,1980,726328,2.32,1000.0,21.4,5.57,3,54.9,153
1334,54,1975,647536,1.9,600.0,23.4,5.23,3,43.1,153
1335,54,1970,589314,2.02,3238.0,25.4,4.93,2,32.0,153
1336,54,1965,533361,1.26,1882.0,26.4,4.59,2,23.7,150
1337,54,1960,500928,0.68,600.0,27.3,4.2,2,17.3,152
1338,54,1955,484313,0.46,600.0,27.9,3.99,2,14.1,150
1339,55,2020,2416668,2.94,-3087.0,17.8,5.25,239,59.4,144
1340,55,2019,2347706,2.97,-3087.0,17.6,5.45,232,58.8,144
1341,55,2018,2280094,2.99,-3087.0,17.6,5.45,225,58.1,144
1342,55,2017,2213889,3.01,-3087.0,17.6,5.45,219,57.5,144
1343,55,2016,2149136,3.03,-3087.0,17.6,5.45,212,56.8,145
1344,55,2015,2085860,3.07,-3087.0,17.5,5.5,206,56.2,145
1345,55,2010,1793196,3.04,-3087.0,17.1,5.65,177,52.5,149
1346,55,2005,1543741,3.22,303.0,16.7,5.8,153,48.7,148
1347,55,2000,1317703,3.15,-914.0,16.5,5.95,130,44.7,149
1348,55,1995,1128575,3.38,524.0,17.1,6.05,112,41.0,151
1349,55,1990,955593,4.8,12119.0,18.2,6.15,94,36.8,152
